id,bab,japanese,furigana,raw_display,romaji,indonesian
751,21,そうさします,そうさします,そうさします,sousashimasu,mengoperasikan
752,21,たいてい,たいてい,たいてい,taitei,biasanya/pada umumnya
753,21,ちょうちん,ちょうちん,ちょうちん,chouchin,lampion
754,21,ちります,ちります,ちります,chirimasu,gugur
755,21,出かけます,でかけます,出(で)かけます,dekakemasu,keluar rumah/pergi keluar
756,21,なくします,なくします,なくします,nakushimasu,menghilangkan
757,21,はし,はし,はし,hashi,sumpit
758,21,ばしょ,ばしょ,ばしょ,basho,tempat
759,21,ぶひん,ぶひん,ぶひん,buhin,suku cadang/onderdil
760,21,マニュアル,マニュアル,マニュアル,manyuaru,buku panduan
761,21,まわします,まわします,まわします,mawashimasu,memutar
762,21,ミーティング,ミーティング,ミーティング,mi-tingu,rapat
763,21,やります,やります,やります,yarimasu,melakukan/mengerjakan
764,21,れんしゅうします,れんしゅうします,れんしゅうします,renshuushimasu,berlatih
